target_kind,complexity,noise_std,model,dim,eig_idx,budget,selected_lr,median_test_rmse,q25_test_rmse,q75_test_rmse,mean_test_rmse,n
general,10,0.0,unconstrained,15,7,200,0.0372759372031493,0.13619021326303477,0.07752827741205688,0.2182189524173736,0.17653326775568223,96
general,10,0.0,unconstrained,15,7,500,0.0372759372031493,0.06678893417119974,0.04327110853046172,0.09858154132962223,0.08769731293432409,96
general,20,0.0,unconstrained,5,2,1,0.1,0.9673618376255035,0.8382938802242279,1.096625566482544,0.9766294273237387,96
general,20,0.0,unconstrained,5,2,2,0.1,0.8698920607566833,0.7949510365724564,1.0027039349079132,0.8898400062074264,96
general,20,0.0,unconstrained,5,2,5,0.0372759372031493,0.8281430900096893,0.762688547372818,0.9885802567005157,0.8593043635288874,96
general,20,0.0,unconstrained,5,2,10,0.1,0.79502272605896,0.6840718239545822,0.9153049290180207,0.8047811804960171,96
general,20,0.0,unconstrained,5,2,20,0.1,0.7671914398670197,0.6677346378564835,0.8616843223571777,0.7600229146579901,96
general,20,0.0,unconstrained,5,2,50,0.1,0.7145944237709045,0.6015730053186417,0.8175887018442154,0.7078416260580221,96
general,20,0.0,unconstrained,5,2,100,0.1,0.6962192058563232,0.5836849063634872,0.7668975591659546,0.6775679985682169,96
general,20,0.0,unconstrained,5,2,200,0.1,0.656412810087204,0.5614915490150452,0.7298274636268616,0.6442438916613659,96
general,20,0.0,unconstrained,5,2,500,0.1,0.6082588732242584,0.5338597446680069,0.697998657822609,0.6088732273007432,96
general,20,0.0,unconstrained,9,4,1,0.0372759372031493,0.9541103839874268,0.8488202095031738,1.0782459676265717,0.9801038193205992,96
general,20,0.0,unconstrained,9,4,2,0.0372759372031493,0.8594311475753784,0.7633347660303116,0.9885236024856567,0.8811996628840765,96
