target_kind,complexity,target_seed,noise_std,model,dim,eig_idx,lr,init_seed,step,train_rmse,val_rmse,test_rmse,seconds
monotone,5,0,0.0,unconstrained,9,4,0.1,0,5,0.34093788266181946,0.44930723309516907,0.45059555768966675,0.0385344170499593
monotone,5,0,0.0,unconstrained,9,4,0.1,0,10,0.19195295870304108,0.15374413132667542,0.15580368041992188,0.06022341700736433
monotone,5,0,0.0,unconstrained,9,4,0.1,0,20,0.08569677174091339,0.1085088700056076,0.10816925764083862,0.08333970897365361
monotone,5,0,0.0,unconstrained,9,4,0.1,0,50,0.031728386878967285,0.04351191222667694,0.043880391865968704,0.11358420900069177
monotone,5,0,0.0,unconstrained,9,4,0.1,0,100,0.012780471704900265,0.012627984397113323,0.012532182969152927,0.15073441702406853
monotone,5,0,0.0,unconstrained,9,4,0.1,0,200,0.013115515001118183,0.007529540918767452,0.007511605974286795,0.2051288749789819
monotone,5,0,0.0,unconstrained,9,4,0.1,1,1,0.4480660557746887,0.45102763175964355,0.4520411789417267,0.0005118749104440212
monotone,5,0,0.0,unconstrained,9,4,0.1,1,2,0.48932889103889465,0.4462234079837799,0.44966545701026917,0.020847874926403165
monotone,5,0,0.0,unconstrained,9,4,0.1,1,5,0.18581241369247437,0.23077665269374847,0.23392900824546814,0.040507207973860204
monotone,5,0,0.0,unconstrained,9,4,0.1,1,10,0.12861192226409912,0.14277100563049316,0.14535832405090332,0.06177479191683233
monotone,5,0,0.0,unconstrained,9,4,0.1,1,20,0.09512342512607574,0.10129206627607346,0.10194525867700577,0.08521062496583909
monotone,5,0,0.0,unconstrained,9,4,0.1,1,50,0.04757888987660408,0.03859756141901016,0.03818700835108757,0.11544387496542186
monotone,5,0,0.0,unconstrained,9,4,0.1,1,100,0.013315169140696526,0.014960835687816143,0.014914928004145622,0.1527832499705255
monotone,5,0,0.0,unconstrained,9,4,0.1,1,200,0.025174139067530632,0.014073200523853302,0.013967298902571201,0.20709908299613744
monotone,5,0,0.0,monotone,9,4,0.0001,0,1,0.9957780241966248,0.9163224697113037,0.917482316493988,0.00044354202691465616
monotone,5,0,0.0,monotone,9,4,0.0001,0,2,0.8771150708198547,0.9158539175987244,0.9170143604278564,0.020407917094416916
monotone,5,0,0.0,monotone,9,4,0.0001,0,5,0.933393120765686,0.9144911766052246,0.9156497716903687,0.04115841700695455
monotone,5,0,0.0,monotone,9,4,0.0001,0,10,0.8643507957458496,0.9122154712677002,0.9133707880973816,0.062484499998390675
monotone,5,0,0.0,monotone,9,4,0.0001,0,20,0.8377446532249451,0.9077656865119934,0.9089203476905823,0.0856753340922296
monotone,5,0,0.0,monotone,9,4,0.0001,0,50,0.8595201373100281,0.8938512802124023,0.8950210809707642,0.11558641702868044
monotone,5,0,0.0,monotone,9,4,0.0001,0,100,0.7750807404518127,0.870392918586731,0.8715912103652954,0.15214866702444851
monotone,5,0,0.0,monotone,9,4,0.0001,0,200,0.8970012068748474,0.8242198824882507,0.8254145979881287,0.20576166699174792
monotone,5,0,0.0,monotone,9,4,0.0001,1,1,0.6911119222640991,0.6895127892494202,0.6919295787811279,0.00041079195216298103
monotone,5,0,0.0,monotone,9,4,0.0001,1,2,0.6786189675331116,0.6890429854393005,0.691459596157074,0.019750083913095295
monotone,5,0,0.0,monotone,9,4,0.0001,1,5,0.6343901753425598,0.6876415014266968,0.6900579333305359,0.039730124990455806
monotone,5,0,0.0,monotone,9,4,0.0001,1,10,0.7081394791603088,0.6853157877922058,0.6877330541610718,0.06046920898370445
monotone,5,0,0.0,monotone,9,4,0.0001,1,20,0.6461328268051147,0.6807214021682739,0.6831410527229309,0.08298158401157707
monotone,5,0,0.0,monotone,9,4,0.0001,1,50,0.7008767127990723,0.6670076251029968,0.6694165468215942,0.10747191694099456
monotone,5,0,0.0,monotone,9,4,0.0001,1,100,0.5417439937591553,0.6445902585983276,0.647006630897522,0.14321945898700505
monotone,5,0,0.0,monotone,9,4,0.0001,1,200,0.5734530091285706,0.6035284996032715,0.6058297753334045,0.1955754169030115
monotone,5,0,0.0,monotone,9,4,0.001,0,1,0.9957780241966248,0.9120596647262573,0.9132182598114014,0.00045425002463161945
