protocol,optimizer,train_pool_size,phase,train_size,data_seed,model,dim,width,num_parameters,lr,init_seed,val_logloss,test_logloss,test_brier
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.0007196856730011522,6,0.6429519118652344,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.0007196856730011522,6,0.6382576244506836,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.0007196856730011522,6,0.6371812923583985,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.0007196856730011522,6,0.6371855144348144,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.0007196856730011522,6,0.6371869405517578,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.0007196856730011522,7,0.7329715894165039,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.0007196856730011522,7,0.7311825376586915,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.0007196856730011522,7,0.7244261636657715,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.0007196856730011522,7,0.7035257822875977,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.0007196856730011522,7,0.6681538390197754,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.0007196856730011522,7,0.644197990234375,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.0007196856730011522,7,0.6392689187316895,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.0007196856730011522,7,0.6372267356872559,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.0007196856730011522,7,0.6371855409851074,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.0007196856730011522,7,0.6371869415283203,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.0019306977288832496,0,0.7062332959594727,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.0019306977288832496,0,0.7025176663513184,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.0019306977288832496,0,0.6901500414428711,,
